Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,11/24/2023,CUST0001,Male,34,Beauty,3,50,150
2,2/27/2023,CUST0002,Female,26,Clothing,2,500,1000
3,1/13/2023,CUST0003,Male,50,Electronics,1,30,30
4,5/21/2023,CUST0004,Male,37,Clothing,1,500,500
5,5/6/2023,CUST0005,Male,30,Beauty,2,50,100
6,4/25/2023,CUST0006,Female,45,Beauty,1,30,30
7,3/13/2023,CUST0007,Male,46,Clothing,2,25,50
8,2/22/2023,CUST0008,Male,30,Electronics,4,25,100
9,12/13/2023,CUST0009,Male,63,Electronics,2,300,600
10,10/7/2023,CUST0010,Female,52,Clothing,4,50,200
11,2/14/2023,CUST0011,Male,23,Clothing,2,50,100
12,10/30/2023,CUST0012,Male,35,Beauty,3,25,75
13,8/5/2023,CUST0013,Male,22,Electronics,3,500,1500
14,1/17/2023,CUST0014,Male,64,Clothing,4,30,120
15,1/16/2023,CUST0015,Female,42,Electronics,4,500,2000
16,2/17/2023,CUST0016,Male,19,Clothing,3,500,1500
17,4/22/2023,CUST0017,Female,27,Clothing,4,25,100
18,4/30/2023,CUST0018,Female,47,Electronics,2,25,50
19,9/16/2023,CUST0019,Female,62,Clothing,2,25,50
20,11/5/2023,CUST0020,Male,22,Clothing,3,300,900
21,1/14/2023,CUST0021,Female,50,Beauty,1,500,500
22,10/15/2023,CUST0022,Male,18,Clothing,2,50,100
23,4/12/2023,CUST0023,Female,35,Clothing,4,30,120
24,11/29/2023,CUST0024,Female,49,Clothing,1,300,300
25,12/26/2023,CUST0025,Female,64,Beauty,1,50,50
26,10/7/2023,CUST0026,Female,28,Electronics,2,500,1000
27,8/3/2023,CUST0027,Female,38,Beauty,2,25,50
28,4/23/2023,CUST0028,Female,43,Beauty,1,500,500
29,8/18/2023,CUST0029,Female,42,Electronics,1,30,30
30,10/29/2023,CUST0030,Female,39,Beauty,3,300,900
31,5/23/2023,CUST0031,Male,44,Electronics,4,300,1200
32,1/4/2023,CUST0032,Male,30,Beauty,3,30,90
33,3/23/2023,CUST0033,Female,50,Electronics,2,50,100
34,12/24/2023,CUST0034,Female,51,Clothing,3,50,150
35,8/5/2023,CUST0035,Female,58,Beauty,3,300,900
36,6/24/2023,CUST0036,Male,52,Beauty,3,300,900
37,5/23/2023,CUST0037,Female,18,Beauty,3,25,75
38,3/21/2023,CUST0038,Male,38,Beauty,4,50,200
39,4/21/2023,CUST0039,Male,23,Clothing,4,30,120
40,6/22/2023,CUST0040,Male,45,Beauty,1,50,50
41,2/22/2023,CUST0041,Male,34,Clothing,2,25,50
42,2/17/2023,CUST0042,Male,22,Clothing,3,300,900
43,7/14/2023,CUST0043,Female,48,Clothing,1,300,300
44,2/19/2023,CUST0044,Female,22,Clothing,1,25,25
45,7/3/2023,CUST0045,Female,55,Electronics,1,30,30
46,6/26/2023,CUST0046,Female,20,Electronics,4,300,1200
47,11/6/2023,CUST0047,Female,40,Beauty,3,500,1500
48,5/16/2023,CUST0048,Male,54,Electronics,3,300,900
49,1/23/2023,CUST0049,Female,54,Electronics,2,500,1000
50,8/24/2023,CUST0050,Female,27,Beauty,3,25,75
51,10/2/2023,CUST0051,Male,27,Beauty,3,25,75
52,3/5/2023,CUST0052,Female,36,Beauty,1,300,300
53,7/13/2023,CUST0053,Male,34,Electronics,2,50,100
54,2/10/2023,CUST0054,Female,38,Electronics,3,500,1500
55,10/10/2023,CUST0055,Male,31,Beauty,4,30,120
56,5/31/2023,CUST0056,Female,26,Clothing,3,300,900
57,11/18/2023,CUST0057,Female,63,Beauty,1,30,30
58,11/13/2023,CUST0058,Male,18,Clothing,4,300,1200
59,7/5/2023,CUST0059,Male,62,Clothing,1,50,50
60,10/23/2023,CUST0060,Male,30,Beauty,3,50,150
61,4/9/2023,CUST0061,Male,21,Beauty,4,50,200
62,12/27/2023,CUST0062,Male,18,Beauty,2,50,100
63,2/5/2023,CUST0063,Male,57,Electronics,2,25,50
64,1/24/2023,CUST0064,Male,49,Clothing,4,25,100
65,12/5/2023,CUST0065,Male,51,Electronics,4,500,2000
66,4/27/2023,CUST0066,Female,45,Electronics,1,30,30
67,5/29/2023,CUST0067,Female,48,Beauty,4,300,1200
68,2/10/2023,CUST0068,Male,25,Electronics,1,300,300
69,4/30/2023,CUST0069,Female,56,Beauty,3,25,75
70,2/21/2023,CUST0070,Female,43,Clothing,1,300,300
71,7/14/2023,CUST0071,Female,51,Beauty,4,25,100
72,5/23/2023,CUST0072,Female,20,Electronics,4,500,2000
73,8/21/2023,CUST0073,Male,29,Electronics,3,30,90
74,11/22/2023,CUST0074,Female,18,Beauty,4,500,2000
75,7/6/2023,CUST0075,Male,61,Beauty,4,50,200
76,3/25/2023,CUST0076,Female,22,Electronics,2,50,100
77,7/9/2023,CUST0077,Female,47,Clothing,2,50,100
78,7/1/2023,CUST0078,Female,47,Clothing,3,500,1500
79,4/18/2023,CUST0079,Male,34,Beauty,1,300,300
80,12/10/2023,CUST0080,Female,64,Clothing,2,30,60
81,5/17/2023,CUST0081,Male,40,Electronics,1,50,50
82,12/26/2023,CUST0082,Female,32,Beauty,4,50,200
83,12/16/2023,CUST0083,Male,54,Electronics,2,50,100
84,11/28/2023,CUST0084,Female,38,Electronics,3,30,90
85,2/6/2023,CUST0085,Male,31,Clothing,3,50,150
86,11/8/2023,CUST0086,Male,19,Beauty,3,30,90
87,11/22/2023,CUST0087,Female,28,Beauty,2,50,100
88,3/29/2023,CUST0088,Male,56,Clothing,1,500,500
89,10/1/2023,CUST0089,Female,55,Electronics,4,500,2000
90,5/6/2023,CUST0090,Female,51,Electronics,1,30,30
91,3/25/2023,CUST0091,Female,55,Electronics,1,500,500
92,8/25/2023,CUST0092,Female,51,Electronics,4,30,120
93,7/14/2023,CUST0093,Female,35,Beauty,4,500,2000
94,5/19/2023,CUST0094,Female,47,Beauty,2,500,1000
95,11/24/2023,CUST0095,Female,32,Clothing,2,30,60
96,12/19/2023,CUST0096,Female,44,Clothing,2,300,600
97,10/13/2023,CUST0097,Female,51,Beauty,2,500,1000
98,4/23/2023,CUST0098,Female,55,Beauty,2,50,100
99,12/17/2023,CUST0099,Female,50,Electronics,4,300,1200
100,6/16/2023,CUST0100,Male,41,Electronics,1,30,30
101,1/29/2023,CUST0101,Male,32,Clothing,2,300,600
102,4/28/2023,CUST0102,Female,47,Beauty,2,25,50
103,1/17/2023,CUST0103,Female,59,Clothing,1,25,25
104,6/11/2023,CUST0104,Female,34,Beauty,2,500,1000
105,7/25/2023,CUST0105,Female,22,Electronics,1,500,500
106,5/18/2023,CUST0106,Female,46,Clothing,1,50,50
107,2/3/2023,CUST0107,Female,21,Clothing,4,300,1200
108,4/19/2023,CUST0108,Female,27,Beauty,3,25,75
109,10/18/2023,CUST0109,Female,34,Electronics,4,500,2000
110,6/11/2023,CUST0110,Male,27,Clothing,3,300,900
111,4/19/2023,CUST0111,Female,34,Electronics,3,500,1500
